Method,ID,Question,Ground_Truth,Top1_Result,Correct_Retrieval,Faithfulness,Citation_Acc,Latency_ms
Hybrid w/o Cross-Encoder,66,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,288.56
Hybrid w/o Cross-Encoder,67,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,287.94
Hybrid w/o Cross-Encoder,68,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,293.49
Hybrid w/o Cross-Encoder,69,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,289.27
Hybrid w/o Cross-Encoder,70,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,317.08
Hybrid w/o Cross-Encoder,71,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,345.05
Hybrid w/o Cross-Encoder,72,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,284.2
Hybrid w/o Cross-Encoder,73,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,304.0
Hybrid w/o Cross-Encoder,74,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,268.13
Hybrid w/o Cross-Encoder,75,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,271.46
Hybrid w/o Cross-Encoder,76,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,247.21
Hybrid w/o Cross-Encoder,77,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,265.08
Hybrid w/o Cross-Encoder,78,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,260.02
Hybrid w/o Cross-Encoder,79,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,288.8
Hybrid w/o Cross-Encoder,80,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,300.18
Hybrid w/o Cross-Encoder,81,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,322.49
Hybrid w/o Cross-Encoder,82,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,278.69
Hybrid w/o Cross-Encoder,83,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,266.61
Hybrid w/o Cross-Encoder,84,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,296.71
Hybrid w/o Cross-Encoder,85,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,267.93
Hybrid w/o Cross-Encoder,86,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,260.96
Hybrid w/o Cross-Encoder,87,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,268.8
Hybrid w/o Cross-Encoder,88,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,261.15
Hybrid w/o Cross-Encoder,89,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,255.45
Hybrid w/o Cross-Encoder,90,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,335.7
Hybrid w/o Cross-Encoder,91,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,376.66
Hybrid w/o Cross-Encoder,92,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,271.61
Hybrid w/o Cross-Encoder,93,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,264.35
Hybrid w/o Cross-Encoder,94,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,306.71
Hybrid w/o Cross-Encoder,95,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,267.59
Hybrid w/o Cross-Encoder,96,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,270.24
Hybrid w/o Cross-Encoder,97,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",07_2016_TT-BKHDT_317089,True,N/A,N/A,275.78
Hybrid w/o Cross-Encoder,98,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,276.48
Hybrid w/o Cross-Encoder,99,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,275.27
Hybrid w/o Cross-Encoder,100,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,301.62
Hybrid w/o Cross-Encoder,101,Thông tư 02/2024/TT-BKHĐT quy định về vấn đề gì?,Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,127709.11
Hybrid w/o Cross-Encoder,102,Chứng chỉ nghiệp vụ chuyên môn về đấu thầu có thời hạn sử dụng bao lâu?,Điều 3 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,523.11
Hybrid w/o Cross-Encoder,103,Cơ quan nào có thẩm quyền cấp chứng chỉ nghiệp vụ chuyên môn về đấu thầu?,Điều 4 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,262.78
Hybrid w/o Cross-Encoder,104,Điều kiện để cá nhân được dự thi cấp chứng chỉ đấu thầu là gì?,Điều 8 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,261.52
Hybrid w/o Cross-Encoder,105,Hình thức thi chứng chỉ nghiệp vụ đấu thầu là gì?,Điều 13 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,1618.94
Hybrid w/o Cross-Encoder,106,Thời gian làm bài thi chứng chỉ đấu thầu là bao nhiêu phút?,Điều 16 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,5626.67
Hybrid w/o Cross-Encoder,107,Đề thi chứng chỉ đấu thầu bao gồm bao nhiêu câu hỏi?,Điều 16 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,4163.6
Hybrid w/o Cross-Encoder,108,"Để đạt yêu cầu cấp chứng chỉ, thí sinh phải đạt bao nhiêu điểm?",Điều 18 - Thông tư 02/2024/TT-BKHĐT,214_2025_ND-CP_668157,True,N/A,N/A,13137.74
Hybrid w/o Cross-Encoder,109,Hồ sơ đề nghị cấp chứng chỉ đấu thầu bao gồm những giấy tờ gì?,Điều 11 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,3346.48
Hybrid w/o Cross-Encoder,110,Thông tư 05/2024/TT-BKHĐT quy định về nội dung gì?,Thông tư 05/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,108732.96
Hybrid w/o Cross-Encoder,111,Chi phí duy trì tên và hồ sơ năng lực nhà thầu trên Hệ thống là bao nhiêu?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,05_2024_TT-BKHDT_607705,True,N/A,N/A,24703.21
Hybrid w/o Cross-Encoder,112,Thời hạn nộp chi phí duy trì tên và hồ sơ năng lực là khi nào?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,06_2021_TT-BKHDT_490510,True,N/A,N/A,7538.01
Hybrid w/o Cross-Encoder,113,Chi phí nộp hồ sơ dự thầu trên Hệ thống mạng đấu thầu quốc gia là bao nhiêu?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,07_2016_TT-BKHDT_317089,True,N/A,N/A,8366.95
Hybrid w/o Cross-Encoder,114,Mức thu chi phí đối với nhà thầu trúng thầu được tính như thế nào?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,214_2025_ND-CP_668157,True,N/A,N/A,9800.77
Hybrid w/o Cross-Encoder,115,Chi phí kết nối chức năng bảo lãnh dự thầu điện tử là bao nhiêu?,Điều 4 - Thông tư 05/2024/TT-BKHĐT,05_2024_TT-BKHDT_607705,True,N/A,N/A,9704.26
Hybrid w/o Cross-Encoder,116,Đơn vị nào chịu trách nhiệm thu các chi phí trên Hệ thống mạng đấu thầu quốc gia?,Điều 5 - Thông tư 05/2024/TT-BKHĐT,214_2025_ND-CP_668157,True,N/A,N/A,7732.21
Hybrid w/o Cross-Encoder,117,Nhà thầu nước ngoài có phải nộp chi phí trên Hệ thống mạng đấu thầu quốc gia không?,Thông tư 05/2024/TT-BKHĐT,17_2025_ND-CP_632484,True,N/A,N/A,5168.57
Hybrid w/o Cross-Encoder,118,"Nếu không nộp chi phí duy trì tên đúng hạn, nhà thầu bị xử lý thế nào?",Điều 6 - Thông tư 05/2024/TT-BKHĐT,22_2023_QH15_518805,True,N/A,N/A,5709.52
Hybrid w/o Cross-Encoder,119,Chỉ thị 03/CT-BKHĐT năm 2019 nhằm mục đích gì?,Chỉ thị 03/CT-BKHĐT,03_CT-BKHDT_415554,False,N/A,N/A,23790.47
Hybrid w/o Cross-Encoder,120,Chỉ thị 03 nghiêm cấm hành vi nào trong lập hồ sơ mời thầu?,Chỉ thị 03/CT-BKHĐT,25_2020_ND-CP_347400,False,N/A,N/A,10076.8
Hybrid w/o Cross-Encoder,121,Cơ quan nào chịu trách nhiệm giám sát công tác đấu thầu tại địa phương theo Chỉ thị 03?,Chỉ thị 03/CT-BKHĐT,03_CT-BKHDT_415554,False,N/A,N/A,7570.26
Hybrid w/o Cross-Encoder,122,Nghị định 09/2022/NĐ-CP hướng dẫn thực hiện đấu thầu theo hiệp định nào?,Nghị định 09/2022/NĐ-CP,12_2022_TT-BKHDT_521153,True,N/A,N/A,113148.3
Hybrid w/o Cross-Encoder,123,Phạm vi điều chỉnh của Nghị định 09/2022/NĐ-CP là gì?,Điều 1 - Nghị định 09/2022/NĐ-CP,12_2022_TT-BKHDT_521153,True,N/A,N/A,8346.37
Hybrid w/o Cross-Encoder,124,Gói thầu mua sắm hàng hóa an ninh quốc gia có thuộc phạm vi Nghị định 09/2022 không?,Nghị định 09/2022/NĐ-CP,12_2022_TT-BKHDT_521153,True,N/A,N/A,5793.52
Hybrid w/o Cross-Encoder,125,Cơ quan mua sắm tập trung cấp quốc gia theo Nghị định 09/2022 là đơn vị nào?,Nghị định 09/2022/NĐ-CP,214_2025_ND-CP_668157,True,N/A,N/A,6122.41
Hybrid w/o Cross-Encoder,126,Gói thầu dịch vụ xây dựng tại vùng sâu vùng xa theo Nghị định 09/2022 có ưu đãi gì?,Nghị định 09/2022/NĐ-CP,20_2022_TT-BKHDT_531555,True,N/A,N/A,6329.2
Hybrid w/o Cross-Encoder,127,Thông tư 12/2022/TT-BKHĐT hướng dẫn lập hồ sơ cho loại gói thầu nào?,Thông tư 12/2022/TT-BKHĐT,12_2022_TT-BKHDT_521153,True,N/A,N/A,93895.96
Hybrid w/o Cross-Encoder,128,Mẫu hồ sơ mời thầu mua sắm hàng hóa qua mạng (một giai đoạn một túi hồ sơ) là mẫu số mấy?,Thông tư 12/2022/TT-BKHĐT,07_2016_TT-BKHDT_317089,True,N/A,N/A,13165.0
Hybrid w/o Cross-Encoder,129,Thông tư 15/2022/TT-BKHĐT áp dụng cho lĩnh vực đấu thầu nào?,Thông tư 15/2022/TT-BKHĐT,12_2022_TT-BKHDT_521153,False,N/A,N/A,3536.92
Hybrid w/o Cross-Encoder,130,"Nếu sửa đổi hồ sơ mời thầu sau khi phát hành (theo TT 15/2022), bên mời thầu phải làm gì?",Thông tư 15/2022/TT-BKHĐT,80_2025_TT-BTC_668938,False,N/A,N/A,12423.62
Hybrid w/o Cross-Encoder,131,Thông tư 09/2024/TT-BKHĐT hướng dẫn về thủ tục gì?,Thông tư 09/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,105082.4
Hybrid w/o Cross-Encoder,132,Cơ quan nào quản lý Hệ thống thông tin quốc gia về hợp tác xã?,Thông tư 09/2024/TT-BKHĐT,09_2024_TT-BKHDT_610974,True,N/A,N/A,11481.83
Hybrid w/o Cross-Encoder,133,Quyết định 16/QĐ-BKHĐT năm 2025 nói về đề án gì?,Quyết định 16/QĐ-BKHĐT,1315_CT-TTg_127435,False,N/A,N/A,14141.05
Hybrid w/o Cross-Encoder,134,Mục tiêu đến năm 2030 của Quyết định 16/QĐ-BKHĐT là gì?,Quyết định 16/QĐ-BKHĐT,02_2024_TT-BKHDT_591580,False,N/A,N/A,16284.17
Hybrid w/o Cross-Encoder,135,Thông tư 07/2016/TT-BKHĐT quy định về vấn đề gì?,Thông tư 07/2016/TT-BKHĐT,02_2024_TT-BKHDT_591580,False,N/A,N/A,103211.68
Hybrid w/o Cross-Encoder,136,"Theo Thông tư 07/2016, bên mời thầu có được yêu cầu nộp hồ sơ giấy song song với hồ sơ mạng không?",Thông tư 07/2016/TT-BKHĐT,07_2016_TT-BKHDT_317089,True,N/A,N/A,6726.85
Hybrid w/o Cross-Encoder,137,"Trong E-HSMT (Thông tư 07/2016), bảng dữ liệu đấu thầu dùng để làm gì?",Thông tư 07/2016/TT-BKHĐT,07_2016_TT-BKHDT_317089,True,N/A,N/A,10543.07
Hybrid w/o Cross-Encoder,138,Thông tư 06/2021/TT-BKHĐT (cũ) quy định về chi phí gì?,Thông tư 06/2021/TT-BKHĐT,05_2024_TT-BKHDT_607705,True,N/A,N/A,106085.44
Hybrid w/o Cross-Encoder,139,CPTPP là viết tắt của hiệp định nào?,Nghị định 09/2022/NĐ-CP,09_2022_ND-CP_500254,True,N/A,N/A,14471.93
Hybrid w/o Cross-Encoder,140,UKVFTA là hiệp định giữa Việt Nam và nước nào?,Thông tư 12/2022/TT-BKHĐT,09_2022_ND-CP_500254,False,N/A,N/A,4675.26
Hybrid w/o Cross-Encoder,141,EVFTA là hiệp định giữa Việt Nam và tổ chức nào?,Thông tư 12/2022/TT-BKHĐT,12_2022_TT-BKHDT_521153,True,N/A,N/A,1018.16
Hybrid w/o Cross-Encoder,142,Hồ sơ năng lực nhà thầu trên Hệ thống mạng bao gồm những thông tin gì?,Thông tư 05/2024/TT-BKHĐT (suy luận từ ngữ cảnh),07_2016_TT-BKHDT_317089,True,N/A,N/A,2280.34
Hybrid w/o Cross-Encoder,143,Việc thu hồi chứng chỉ nghiệp vụ đấu thầu diễn ra trong trường hợp nào?,Điều 22 - Thông tư 02/2024/TT-BKHĐT,02_2024_TT-BKHDT_591580,True,N/A,N/A,1109.69
Hybrid w/o Cross-Encoder,144,Chứng chỉ hành nghề hoạt động đấu thầu (cũ) còn giá trị sử dụng không?,Thông tư 02/2024/TT-BKHĐT,105_2025_TT-BTC_679653,True,N/A,N/A,2271.33
Hybrid w/o Cross-Encoder,145,Nhà thầu có được rút hồ sơ dự thầu đã nộp trên mạng không?,Quy định chung,25_2020_ND-CP_347400,False,N/A,N/A,6365.87
Hybrid w/o Cross-Encoder,146,Quy định về đấu giá quyền khai thác khoáng sản nằm ở văn bản nào trong danh sách?,Out-of-domain,25_2020_ND-CP_347400,False,N/A,N/A,12027.5
Hybrid w/o Cross-Encoder,147,Luật Đất đai 2024 quy định về giá đất như thế nào?,Out-of-domain,25_2020_ND-CP_347400,False,N/A,N/A,103691.86
Hybrid w/o Cross-Encoder,148,Mức phạt vi phạm giao thông đường bộ là bao nhiêu?,Out-of-domain,09_2022_ND-CP_500254,False,N/A,N/A,9877.95
Hybrid w/o Cross-Encoder,149,Thuế thu nhập cá nhân đối với người trúng thầu là bao nhiêu?,Out-of-domain,214_2025_ND-CP_668157,False,N/A,N/A,9873.82
Hybrid w/o Cross-Encoder,150,Chi phí đăng tải thông báo mời thầu theo Thông tư 06/2021 là bao nhiêu?,Thông tư 06/2021 & 05/2024,06_2021_TT-BKHDT_490510,False,N/A,N/A,5387.59
Hybrid w/ Cross-Encoder,1,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,17557.07
Hybrid w/ Cross-Encoder,2,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,5439.97
Hybrid w/ Cross-Encoder,3,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,4510.78
Hybrid w/ Cross-Encoder,4,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,2311.62
Hybrid w/ Cross-Encoder,5,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,6765.73
Hybrid w/ Cross-Encoder,6,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,3013.15
Hybrid w/ Cross-Encoder,7,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",58_2016_TT-BTC_308392,True,N/A,N/A,5170.71
Hybrid w/ Cross-Encoder,8,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,8358.77
Hybrid w/ Cross-Encoder,9,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,4878.52
Hybrid w/ Cross-Encoder,10,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,4456.04
Hybrid w/ Cross-Encoder,11,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,3016.95
Hybrid w/ Cross-Encoder,12,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,3321.75
Hybrid w/ Cross-Encoder,13,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,3730.85
Hybrid w/ Cross-Encoder,14,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,2526.77
Hybrid w/ Cross-Encoder,15,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,6092.52
Hybrid w/ Cross-Encoder,16,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,2184.27
Hybrid w/ Cross-Encoder,17,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",58_2016_TT-BTC_308392,True,N/A,N/A,2211.23
Hybrid w/ Cross-Encoder,18,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,2324.5
Hybrid w/ Cross-Encoder,19,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,1433.94
Hybrid w/ Cross-Encoder,20,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,02_2024_TT-BKHDT_591580,True,N/A,N/A,2289.66
Hybrid w/ Cross-Encoder,21,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,2362.83
Hybrid w/ Cross-Encoder,22,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,3065.12
Hybrid w/ Cross-Encoder,23,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",02_2024_TT-BKHDT_591580,True,N/A,N/A,3134.09
Hybrid w/ Cross-Encoder,24,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,2250.12
